date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:01:05	1338/1338	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%2253a-5875ce617f476%22	http://html.lionode.com/korslook/images/favicon.ico	C:/My%20Web%20Sites/webEcom/html.lionode.com/korslook/images/favicon.ico	(from http://html.lionode.com/korslook/product-detail-view.html)
14:01:05	1171/1171	---MC-	200	added ('OK')	text/css	date:Tue,%2003%20Mar%202020%2007:01:06%20GMT	https://fonts.googleapis.com/css?family=Poppins:400,500,600,300,700	C:/My%20Web%20Sites/webEcom/fonts.googleapis.com/css8705.css	(from http://html.lionode.com/korslook/product-detail-view.html)
14:01:06	3018/3018	---MCZ	200	added ('OK')	text/css	etag:W/%2256ef8698-bca%22	http://html.lionode.com/korslook/css/smoothproducts.css	C:/My%20Web%20Sites/webEcom/html.lionode.com/korslook/css/smoothproducts.css	(from http://html.lionode.com/korslook/product-detail-view.html)
14:01:07	1338/1338	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%2253a-5875ce617f476%22	http://html.lionode.com/korslook/images/sp-loading.gif	C:/My%20Web%20Sites/webEcom/html.lionode.com/korslook/images/sp-loading.gif	(from http://html.lionode.com/korslook/product-detail-view.html)
14:01:16	9614/9614	---MCZ	200	added ('OK')	application/javascript	etag:W/%2256ee007c-258e%22	http://html.lionode.com/korslook/js/smoothproducts.min.js	C:/My%20Web%20Sites/webEcom/html.lionode.com/korslook/js/smoothproducts.min.js	(from http://html.lionode.com/korslook/product-detail-view.html)
14:01:17	206/206	UR-M--	416	error ('Requested%20Range%20Not%20Satisfiable')	text/html	date:Tue,%2003%20Mar%202020%2007:01:18%20GMT	http://html.lionode.com/korslook/images/product/feature-pro-3.jpg	C:/My%20Web%20Sites/webEcom/html.lionode.com/korslook/images/product/feature-pro-3.jpg	(from http://html.lionode.com/korslook/)
14:01:22	206/206	UR-M--	416	error ('Requested%20Range%20Not%20Satisfiable')	text/html	date:Tue,%2003%20Mar%202020%2007:01:23%20GMT	http://html.lionode.com/korslook/images/blog4.jpg	C:/My%20Web%20Sites/webEcom/html.lionode.com/korslook/images/blog4.jpg	(from http://html.lionode.com/korslook/)
14:03:20	1340/1340	---M--	200	added ('OK')	image/jpeg	etag:%2256eb9c22-53c%22	http://html.lionode.com/korslook/images/comment-user.jpg	C:/My%20Web%20Sites/webEcom/html.lionode.com/korslook/images/comment-user.jpg	(from http://html.lionode.com/korslook/single-post.html)
14:03:21	206/206	UR-M--	416	error ('Requested%20Range%20Not%20Satisfiable')	text/html	date:Tue,%2003%20Mar%202020%2007:03:22%20GMT	http://html.lionode.com/korslook/images/blog1.jpg	C:/My%20Web%20Sites/webEcom/html.lionode.com/korslook/images/blog1.jpg	(from http://html.lionode.com/korslook/)
14:03:21	20127/20127	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%225580947a-4e9f%22	http://html.lionode.com/korslook/Bootstrap/fonts/glyphicons-halflings-regular.eot	C:/My%20Web%20Sites/webEcom/html.lionode.com/korslook/Bootstrap/fonts/glyphicons-halflings-regular.eot	(from http://html.lionode.com/korslook/Bootstrap/css/bootstrap.css)
